Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Inband Power (dB FS)	Delta Time (s)	Peak Freq (Hz)	NLP	SNR
1	Spectrogram 1	1	231.914478363	232.316824155	4444.700	5818.500	-84.17	0.4023	5039.062	No	10.2
2	Spectrogram 1	1	437.027249332	437.860679903	1212.200	23516.400	-55.20	0.8334	2343.750	Yes - DC, BP, SH	12.9
3	Spectrogram 1	1	441.181457568	441.371134871	969.700	23678.000	-39.94	0.1897	10312.500	Yes - DC, BP	34.7
4	Spectrogram 1	1	441.440108435	441.647029129	969.700	17778.700	-59.05	0.2069	5507.812	No	15.4
5	Spectrogram 1	1	448.333031007	451.097721384	727.300	19879.800	-59.65	2.7647	8085.938	Yes - DC	22.7
6	Spectrogram 1	1	451.114964775	451.247164107	323.200	24324.500	-50.14	0.1322	468.750	No	34.4
7	Spectrogram 1	1	453.334030940	454.903179532	646.500	17455.400	-62.82	1.5691	7382.812	Yes - DC	21.7
8	Spectrogram 1	1	490.065200870	493.519626892	404.100	22385.000	-62.59	3.4544	2460.938	Yes - DC	22
9	Spectrogram 1	1	502.847147330	503.163276167	646.500	16000.800	-61.93	0.3161	5390.625	Yes - DC	22.6
10	Spectrogram 1	1	503.548378569	506.324564540	323.200	20849.500	-60.00	2.7762	2343.750	Yes - DC	22.9
11	Spectrogram 1	1	506.556182349	506.705625072	323.200	23193.100	-57.96	0.1494	3046.875	No	25
12	Spectrogram 1	1	524.728167146	528.234323340	19394.900	23273.900	-63.74	3.5062	22617.188	No	19.72
13	Spectrogram 1	1	527.630804651	529.820715324	565.700	18425.200	-55.30	2.1899	5742.188	Yes - DC	21.2
14	Spectrogram 1	1	529.998897032	530.171330943	323.200	26910.500	-49.46	0.1724	585.938	Yes - DC	27.1
15	Spectrogram 1	1	608.013024540	608.438361521	484.900	39517.200	-54.45	0.4253	2578.125	No	27.3
16	Spectrogram 1	1	705.730676269	706.574934839	1157.084	29698.485	-63.02	0.8443	1992.188	Yes - BP	6.1
