Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Inband Power (dB FS)	Delta Time (s)	Peak Freq (Hz)	NLP	SNR	SQ	Notes
1	Spectrogram 1	1	22.789146123	23.114290625	3028.600	18457.100	-59.12	0.3251	3867.188	No	21.6	1	
2	Spectrogram 1	1	23.545107089	23.967794940	3314.300	20400.000	-64.83	0.4227	4687.500	Yes - BP	15.8	2	
3	Spectrogram 1	1	40.625139436	40.950283937	6228.600	7314.300	-77.14	0.3251	6562.500	No	14.8	1	
4	Spectrogram 1	1	43.581177508	44.442810436	1212.200	33537.100	-54.91	0.8616	11484.375	Yes - DC, BP	13.1	1	No echolocation click train ie not a terminal buzz. Conspecific nearby.
5	Spectrogram 1	1	705.124558217	705.522860231	484.900	20607.100	-63.43	0.3983	1757.812	Yes - BP	10.7	2	Click train
6	Spectrogram 1	1	869.900855299	870.591787364	3151.700	30304.600	-67.85	0.6909	17578.125	No	12.5	1	
7	Spectrogram 1	1	871.802950631	872.810898584	2020.300	32486.500	-60.43	1.0079	20039.062	Yes - DC, BP	16.9	1	No focal click train
8	Spectrogram 1	1	875.691303244	876.845566223	1939.500	33537.100	-57.02	1.1543	20156.250	Yes - DC, BP	20.4	1	Repetetive
9	Spectrogram 1	1	877.525902325	878.623265016	1050.600	40325.300	-45.94	1.0974	11601.562	Yes - DC, BP	31.5	1	
10	Spectrogram 1	1	879.509939501	880.916189469	1212.200	41295.000	-46.74	1.4062	13593.750	Yes - DC, BP	30.7	1	
11	Spectrogram 1	1	881.438640775	882.422202891	1373.800	39355.500	-47.22	0.9836	10195.312	Yes - DC, BP	30.2	1	
12	Spectrogram 1	1	882.758303786	883.928823990	1131.400	41860.700	-42.20	1.1705	12890.625	Yes - DC, BP	35.2	1	
13	Spectrogram 1	1	884.018238728	885.050572519	1454.600	40810.200	-44.49	1.0323	9726.562	Yes - DC, BP	32.9	1	
14	Spectrogram 1	1	919.998195414	920.754156379	3555.700	39598.000	-54.30	0.7560	17578.125	No	18.0	1	Standalone whistle before same whistle biphonated
15	Spectrogram 1	1	921.201230068	922.331107210	1293.000	41133.400	-49.80	1.1299	20507.812	Yes - DC, BP	22.5	1	
16	Spectrogram 1	1	922.981396212	924.314488667	1050.600	41941.500	-42.16	1.3331	14765.625	Yes - DC, BP	30.2	1	
