Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Inband Power (dB FS)	Peak Freq (Hz)	NLP	SNR	SQ	Notes
1	Spectrogram 1	2	179.580890990	180.291150274	713.100	29643.500	0.7103	-25.98	8671.875	Yes - BP, DC		1	
2	Spectrogram 1	2	184.287427463	185.042077953	662.100	29592.500	0.7547	-25.67	4921.875	Yes - BP, DC		1	
3	Spectrogram 1	2	471.290889333	471.969440614	11409.200	14923.600	0.6786	-58.43	13242.188	No		3	
4	Spectrogram 1	2	477.695251196	478.413308999	8913.400	17266.600	0.7181	-77.93	15820.312	Yes - FJ		2	
5	Spectrogram 1	2	538.903237475	539.454956741	1069.600	29694.400	0.5517	-42.02	6679.688	Yes - DC		2	
6	Spectrogram 1	2	539.537397551	540.139849622	1120.500	29592.500	0.6025	-35.24	6445.312	No		2	
7	Spectrogram 1	2	559.721097786	560.450381873	1273.300	29847.200	0.7293	-43.09	5742.188	Yes - DC		2	
8	Spectrogram 1	2	560.353964674	560.931050342	9117.100	19915.100	0.5771	-66.90	10664.062	No		3	
9	Spectrogram 1	2	575.472408723	576.791461680	4991.500	16095.100	1.3191	-47.35	5859.375	No		2	
10	Spectrogram 1	2	577.526528328	578.889972491	9269.900	16095.100	1.3634	-55.27	9609.375	No		2	
11	Spectrogram 1	2	579.831115779	581.238951146	7079.800	15993.200	1.4078	-53.51	8906.250	No		2	
12	Spectrogram 1	2	582.129406698	583.385043648	7334.500	15891.300	1.2556	-55.00	8906.250	No		3	
13	Spectrogram 1	2	584.841087615	585.380123679	8862.500	15942.300	0.5390	-56.43	9023.438	No		2	
14	Spectrogram 1	2	585.554543085	585.896989526	5551.800	6927.000	0.3424	-50.17	5859.375	No		2	
15	Spectrogram 1	2	585.854574887	586.647274982	7996.600	13242.800	0.7927	-56.60	8789.062	No		3	
16	Spectrogram 1	2	588.213650368	589.399529709	6519.500	10645.200	1.1859	-53.68	7265.625	No		2	
17	Spectrogram 1	2	589.963706277	590.540791946	8862.500	19303.900	0.5771	-57.61	9257.812	No		2	
18	Spectrogram 1	2	592.172830876	592.965530971	8353.100	23633.300	0.7927	-52.72	9140.625	No		3	
19	Spectrogram 1	2	593.307977411	594.132385510	6876.100	22410.900	0.8244	-52.12	7265.625	No		3	
20	Spectrogram 1	2	593.320660613	594.138727110	6417.700	12784.400	0.8181	-52.94	7265.625	No		2	
21	Spectrogram 1	2	593.327002214	594.493856753	7130.700	16146.000	1.1669	-53.85	7265.625	No		3	
22	Spectrogram 1	2	596.170060989	596.873978673	8404.100	22461.800	0.7039	-52.33	10078.125	No		3	
23	Spectrogram 1	2	597.013493889	598.839874907	7130.700	11001.700	1.8264	-55.71	7265.625	Yes - FJ		2	
24	Spectrogram 1	2	597.432039539	598.839874907	9168.100	16400.700	1.4078	-55.32	10195.312	No		2	
25	Spectrogram 1	2	597.038860292	597.444722741	11918.500	16400.700	0.4059	-58.86	12304.688	No		2	
26	Spectrogram 1	2	599.526111747	600.242712632	7334.500	15891.300	0.7166	-52.63	10195.312	No		2	
27	Spectrogram 1	2	601.734959676	603.497924686	6825.100	11103.600	1.7630	-55.01	9492.188	Yes - FJ		3	
28	Spectrogram 1	2	608.062759151	608.481304801	1528.000	29745.300	0.4185	-36.56	8906.250	Yes - DC		2	
29	Spectrogram 1	2	610.650533268	611.278351743	1731.700	29388.800	0.6278	-38.63	1875.000	Yes - BP, DC		2	
30	Spectrogram 1	2	613.096256563	613.546510217	1426.100	29083.200	0.4503	-39.44	8203.125	Yes - BP, DC		2	
31	Spectrogram 1	2	615.313631460	615.833642722	1629.900	29083.200	0.5200	-39.52	1757.812	Yes - BP, DC		2	
32	Spectrogram 1	2	685.879973907	686.463401176	509.300	29439.700	0.5834	-30.54	6093.750	Yes - BP, DC		1	
33	Spectrogram 1	2	688.797110254	689.424928729	509.300	29796.300	0.6278	-29.76	5273.438	Yes - BP, DC		1	
34	Spectrogram 1	2	909.740030764	910.374190840	814.900	29490.700	0.6342	-25.77	8554.688	Yes - BP, DC		1	
