Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Inband Power (dB FS)	Peak Freq (Hz)	NLP	SNR	SQ	Notes
1	Spectrogram 1	2	52.862943184	52.996116800	5195.200	12631.600	0.1332	-61.66	5742.188	No		2	
2	Spectrogram 1	2	53.078557610	53.167340020	7283.500	10492.400	0.0888	-73.97	7500.000	No		2	Odd
3	Spectrogram 1	2	95.401365029	95.838935481	1884.600	26434.600	0.4376	-49.19	24140.625	Yes - DC		3	
4	Spectrogram 1	2	161.127833160	161.666869224	814.900	27045.800	0.5390	-51.92	14179.688	Yes - BP, DC		3	
5	Spectrogram 1	2	163.095914761	163.704708434	1120.500	28268.300	0.6088	-51.86	14531.250	Yes?		3	
6	Spectrogram 1	2	165.516887162	166.093972831	1171.500	29134.100	0.5771	-54.03	6210.938			3	
7	Spectrogram 1	2	167.514491400	168.047185863	1324.300	28624.800	0.5327	-48.95	2460.938			2	
8	Spectrogram 1	2	170.819544081	171.491753761	1528.000	28573.900	0.6722	-46.84	2460.938			2	
9	Spectrogram 1	2	173.298206398	173.926024873	2088.300	29388.800	0.6278	-45.08	20859.375			2	
10	Spectrogram 1	2	195.795534091	196.118955730	3718.200	11103.600	0.3234	-64.35	9023.438	No		2	
