Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Inband Power (dB FS)	Delta Time (s)	Peak Freq (Hz)	NLP	SNR
1	Spectrogram 1	1	44.737248474	44.907949337	565.700	39840.400	-31.81	0.1707	30000.000	No	45.2
2	Spectrogram 1	1	44.964849625	45.086778813	14142.100	28607.500	-79.55	0.1219	22968.750	No	7.3
3	Spectrogram 1	1	58.715220957	58.918436271	404.100	38789.900	-53.01	0.2032	33398.438	No	22.3
4	Spectrogram 1	1	201.070159157	201.452203946	4767.900	35395.700	-57.21	0.3820	25312.500	Yes - DC	23.8
5	Spectrogram 1	1	222.934561738	223.702715622	1028.571	48114.286	-55.08	0.7682	5156.250	Yes - BP, DC	16.5
6	Spectrogram 1	1	223.801504039	224.129467780	3313.300	39193.900	-65.12	0.3280	7617.188	Yes - DC	12.9
7	Spectrogram 1	1	225.462560234	226.068141868	1485.714	47200.000	-56.45	0.6056	7265.625	Yes - BP, DC	
8	Spectrogram 1	1	226.554532278	226.818712185	3636.500	35153.300	-64.06	0.2642	6914.062	Yes - DC	10.9
9	Spectrogram 1	1	263.662645238	263.951210983	3959.800	38547.400	-67.56	0.2886	4335.938	Yes - DC	9.4
10	Spectrogram 1	1	265.046020535	265.334586280	5495.200	38305.000	-66.97	0.2886	8203.125	Yes - DC	10
11	Spectrogram 1	1	381.997859001	382.818848866	1212.200	29173.200	-54.89	0.8210	5742.188	Yes - BP, FJ	18.5
12	Spectrogram 1	1	383.922803526	384.695021717	3394.100	36284.700	-53.32	0.7722	5859.375	Yes - BP, FJ	20.1
13	Spectrogram 1	1	385.954925650	386.739336759	3313.300	39355.500	-56.31	0.7844	8671.875	Yes - BP, FJ	17.1
14	Spectrogram 1	1	387.964185842	388.752661258	2262.700	39113.100	-52.54	0.7885	5976.562	Yes - BP, FJ	20.9
15	Spectrogram 1	1	390.325516774	390.963612857	888.900	35719.000	-53.72	0.6381	5859.375	Yes - BP, FJ	19.7
16	Spectrogram 1	1	402.784975358	403.939238337	2343.600	38628.200	-51.57	1.1543	8789.062	Yes - BP, FJ	23
17	Spectrogram 1	1	405.641637037	406.690228053	3070.900	39921.200	-62.61	1.0486	6093.750	Yes - FJ	11.7
18	Spectrogram 1	1	426.611647175	427.652109579	8242.800	32567.300	-66.04	1.0405	9257.812	Yes - FJ	18.2
19	Spectrogram 1	1	443.488961576	443.684386675	1142.900	48342.900	-49.11	0.1954	1757.812	Yes - BP, DC	26.4
20	Spectrogram 1	1	443.537817850	444.201688409	4571.400	26971.400	-58.89	0.6639	25898.438	Yes - BP	22.2
21	Spectrogram 1	1	443.790720920	444.014885005	1142.900	49028.600	-52.03	0.2242	10429.688	Yes - BP, DC	23.5
22	Spectrogram 1	1	444.124093149	444.397113508	1142.900	52342.900	-57.58	0.2730	10664.062	Yes - BP, DC	17.9
23	Spectrogram 1	1	452.507471727	453.162720589	3200.000	55200.000	-57.68	0.6552	6328.125	Yes - BP, DC	13.3
24	Spectrogram 1	1	453.519084006	454.042133537	800.000	45828.600	-49.69	0.5230	6210.938	Yes - BP, DC	21.4
25	Spectrogram 1	1	456.620503056	457.307364802	1142.900	53828.600	-53.54	0.6869	24843.750	Yes - BP, DC	19.6
26	Spectrogram 1	1	470.271230397	470.871875187	3542.900	35771.400	-52.57	0.6006	9140.625	Yes - BP	22.4
27	Spectrogram 1	1	603.479276310	603.568367164	4114.300	24228.600	-70.88	0.0891	4687.500	No	8
28	Spectrogram 1	1	798.705507208	798.958410278	8342.900	22971.400	-68.72	0.2529	9843.750	No	12.1
29	Spectrogram 1	1	918.869743139	918.955960094	18971.400	24819.356	-68.89	0.0862	23437.500	No	13.6
30	Spectrogram 1	1	919.050798746	919.269215033	8242.800	49503.780	-63.20	0.2184	11484.375	No	8.2
31	Spectrogram 1	1	1109.983932480	1110.535720996	1777.900	40376.374	-42.88	0.5518	5976.562	Yes - BP, DC	23.7
32	Spectrogram 1	1	1113.031389575	1113.540069613	1131.400	38951.500	-49.52	0.5087	7734.375	Yes - BP, DC, FJ	18.5
33	Spectrogram 1	1	1114.572388109	1115.098311538	1454.600	55760.400	-45.01	0.5259	7500.000	Yes - BP, DC, FJ	23
34	Spectrogram 1	1	1194.653548189	1195.073137373	2909.200	27799.400	-48.46	0.4196	5976.562	Yes - BP, DC, FJ	9.1
35	Spectrogram 1	1	1196.143111013	1196.533961211	3070.900	26991.300	-50.81	0.3909	4804.688	Yes - BP, DC, FJ	6.4
36	Spectrogram 1	1	1197.312787710	1197.735250793	2424.400	26506.400	-49.79	0.4225	5859.375	Yes - BP, DC, FJ	7.6
37	Spectrogram 1	1	1254.628256434	1254.849546620	2586.000	39274.700	-57.47	0.2213	10898.438	Yes - DC	12.6
38	Spectrogram 1	1	1290.992972599	1291.153910916	1939.500	18586.800	-59.16	0.1609	5742.188	No	10.8
39	Spectrogram 1	1	1328.557658246	1328.879534881	808.100	29092.400	-57.69	0.3219	820.312	Yes - DC	8.2
40	Spectrogram 1	1	1336.065546220	1336.447774723	2747.600	31678.400	-57.20	0.3822	9023.438	Yes - DC	8.7
41	Spectrogram 1	1	1345.568216363	1345.753971932	2586.000	23273.900	-55.46	0.1858	5859.375	Yes - DC	10.6
42	Spectrogram 1	1	1353.023379519	1353.313643269	3070.900	31193.500	-58.45	0.2903	7968.750	Yes - DC	14.9
43	Spectrogram 1	1	1581.391208541	1581.902762478	2262.700	49618.700	-58.71	0.5116	29882.812	Yes - BP	18.7
44	Spectrogram 1	1	1582.857485714	1583.179362348	3070.900	33456.300	-67.33	0.3219	12187.500	Yes - DC	9.7
45	Spectrogram 1	1	1587.595689495	1588.092873939	4525.500	38305.000	-68.63	0.4972	28828.125	Yes - BP, DC	10.8
46	Spectrogram 1	1	1589.331123357	1589.773703729	3394.100	52366.300	-65.62	0.4426	6328.125	Yes - DC	14
47	Spectrogram 1	1	1593.140763453	1593.586217723	2424.400	53820.900	-66.49	0.4455	3046.875	Yes - BP, DC	13.1
48	Spectrogram 1	1	1784.947203717	1788.183213451	646.500	14285.714	-54.73	3.2360	5156.250	Yes - DC	9.7
49	Spectrogram 1	1	1812.922168715	1813.712490808	808.100	24728.500	-47.33	0.7903	5625.000	Yes - DC	6.5
50	Spectrogram 1	1	1827.427032844	1828.404158341	969.700	20687.900	-49.13	0.9771	1289.062	Yes - DC	10.7
51	Spectrogram 1	1	1846.845464495	1848.480712753	484.900	25698.300	-48.36	1.6352	5156.250	Yes - DC	6.0
52	Spectrogram 1	1	2236.948101961	2237.269182156	1371.400	23085.700	-46.21	0.3211	1992.188	No - DC	7.3
53	Spectrogram 1	1	2281.838759308	2282.395569266	2742.900	23771.400	-47.24	0.5568	5976.562	No	8.2
54	Spectrogram 1	1	2297.541003373	2298.817195540	685.700	24457.100	-52.40	1.2762	1992.188	No	6.7
55	Spectrogram 1	1	2329.047079718	2330.298886047	800.000	21371.400	-54.65	1.2518	2812.500	No	12.4
