Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Inband Power (dB FS)	Delta Time (s)	Peak Freq (Hz)	SNR	SQ	NLP	BP	DC	FJ	SH	SB	E-Clicks in frame	Notes
1	Spectrogram 1	1	709.208787569	709.770548135	9828.571	27290.300	-82.28	0.5618	11484.375	12.1	2	0	0	0	0	0	0	0	0
2	Spectrogram 1	1	710.641574276	711.440054367	9290.300	24580.600	-86.43	0.7985	10078.125	7.5	2	0	0	0	0	0	0	0	0
3	Spectrogram 1	1	712.245996890	713.022089690	7548.400	35806.500	-81.80	0.7761	8671.875	8.3	2	0	0	0	0	0	0	0	0
4	Spectrogram 1	1	945.430150270	945.922670700	1231.700	16970.563	-78.29	0.4925	1406.250	10.8	2	0	0	0	0	0	0	0	0
5	Spectrogram 1	1	1090.714906049	1091.069371510	547.400	22171.200	-69.59	0.3545	1406.250	9.1	2	0	0	0	0	0	0	0	0
6	Spectrogram 1	1	1131.023879524	1131.161934494	2737.200	8211.600	-73.91	0.1381	3515.625	15	2	0	0	0	0	0	0	0	0
7	Spectrogram 1	1	1131.650723709	1131.747735309	2737.200	15054.500	-80.98	0.0970	2812.500	10.7	2	0	0	0	0	0	0	0	0
8	Spectrogram 1	1	1240.903975734	1241.142773518	1916.000	18065.400	-77.33	0.2388	6796.875	14.4	2	0	0	0	0	0	0	0	0
9	Spectrogram 1	1	1742.492256347	1742.601464492	5714.286	9371.429	-80.33	0.1092	6562.500	18.8	2	0	0	0	0	0	0	0	0
10	Spectrogram 1	1	1742.699177042	1742.814132985	3200.000	7885.714	-80.05	0.1150	5390.625	19	3	0	0	0	0	0	0	0	
