Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Inband Power (dB FS)	Peak Freq (Hz)	Delta Time (s)	NLP	Notes	SNR	SQ
1	Spectrogram 1	2	36.657978795	37.002846618	1131.400	11232.900	-67.63	5039.062	0.3449	Yes - BP	Not sure	10.3	2
2	Spectrogram 1	2	38.281858511	38.712943289	964.200	12615.400	-67.87	4921.875	0.4311	No		10	2
3	Spectrogram 1	2	43.187576334	43.342766854	4017.700	13097.500	-65.64	6445.312	0.1552	No		19.1	2
4	Spectrogram 1	2	63.665152256	63.952542108	1044.600	10044.100	-61.09	1406.250	0.2874	No		16.6	2
5	Spectrogram 1	2	66.708007727	66.926424014	2892.700	15668.800	-66.58	4218.750	0.2184	No		17.5	1
6	Spectrogram 1	2	90.365670139	90.676051179	2089.200	10445.900	-72.59	4335.938	0.3104	No		11.1	3
7	Spectrogram 1	2	117.564543237	118.484190763	9240.600	10687.000	-74.61	10078.125	0.9196	No		9.6	
8	Spectrogram 1	2	120.156637297	121.396139865	5785.400	8308.458	-69.75	7968.750	1.2395	No		8.8	
9	Spectrogram 1	2	127.667169798	128.454617993	5062.200	20490.000	-74.91	11015.625	0.7874	No		6.5	
10	Spectrogram 1	2	128.696025469	128.879954974	14785.000	19606.100	-76.48	15234.375	0.1839	No		15.4	
11	Spectrogram 1	2	128.856963786	129.144353638	12213.700	13660.000	-78.56	13125.000	0.2874	No		13.8	
12	Spectrogram 1	2	129.448986881	129.742124530	11169.100	13660.000	-76.86	11484.375	0.2931	No		15.6	
13	Spectrogram 1	2	146.404539441	147.565594443	15909.900	17999.100	-82.29	17109.375	1.1611	No		14.0	
14	Spectrogram 1	2	147.218849886	148.104010630	9883.400	16151.000	-75.96	12539.062	0.8852	No		20.4	
15	Spectrogram 1	2	154.318942360	155.525979739	6669.300	8356.700	-71.92	7148.438	1.2070	No		9.5	
16	Spectrogram 1	2	204.049669323	204.957821255	6990.700	11329.800	-80.13	10898.438	0.9082	No		9.9	
17	Spectrogram 1	2	215.372691589	215.838263149	11249.400	20249.000	-74.30	19687.500	0.4656	No		8.6	
18	Spectrogram 1	2	223.237148664	223.593512080	482.100	10847.700	-59.21	585.938	0.3564	No		15.0	
19	Spectrogram 1	2	249.812669637	250.444927312	6830.000	18159.800	-76.95	8437.500	0.6323	No		6.9	
20	Spectrogram 1	2	274.841378694	275.588592309	9481.700	17758.000	-75.42	10898.438	0.7472	No		7.5	
21	Spectrogram 1	2	345.069245258	345.678858345	9950.249	16815.920	-63.13	16640.625	0.6096	No		18.3	
22	Spectrogram 1	2	361.141931965	367.480143473	2089.200	28846.700	-62.38	3750.000	6.3382	N/A	Too many whistles		
23	Spectrogram 1	2	373.018116170	373.374479587	5303.300	6106.800	-72.52	5859.375	0.3564	No		6.1	
24	Spectrogram 1	2	380.496827534	381.129085208	9160.200	15508.100	-69.32	11250.000	0.6323	No		7.7	
25	Spectrogram 1	2	381.269459977	381.769518319	9963.800	16392.000	-70.36	13007.812	0.5001	No		6.5	
26	Spectrogram 1	2	384.493168402	385.389824741	9642.400	17436.600	-72.27	10195.312	0.8967	No		6.7	
27	Spectrogram 1	2	388.242942777	388.682663693	12374.400	18855.721	-73.49	18398.438	0.4397	No		8.3	
28	Spectrogram 1	2	403.837057684	404.302629245	14142.100	17115.200	-78.38	14414.062	0.4656	No		10.2	
29	Spectrogram 1	2	431.754816319	436.335810560	5383.700	26114.700	-69.38	24023.438	4.5810	N/A	Too many whistles		
30	Spectrogram 1	2	463.657658232	464.939416972	8115.700	14865.300	-71.78	9609.375	1.2818	No		8.0	
31	Spectrogram 1	2	464.663522714	465.255545809	7231.800	15106.400	-66.88	10546.875	0.5920	No		13.3	
32	Spectrogram 1	2	464.916425784	466.376366232	6267.500	18883.000	-69.56	10546.875	1.4599	No		10.5	
33	Spectrogram 1	2	468.052619431	468.886050002	6990.700	15026.000	-67.20	8671.875	0.8334	No		11.8	
34	Spectrogram 1	2	470.335565877	471.692045978	7955.000	15427.800	-75.07	11015.625	1.3565	No		9.7	
35	Spectrogram 1	2	483.234773952	483.786562468	1044.600	31016.300	-50.02	29531.250	0.5518	Yes - DC		19.7	
36	Spectrogram 1	2	488.111755591	488.755508859	964.200	21856.000	-46.90	1054.688	0.6438	Yes - DC		22.9	
37	Spectrogram 1	2	674.219959070	674.880955730	723.200	37203.500	-54.29	4804.688	0.6610	No	Listen	11.9	
38	Spectrogram 1	2	118.439103772	118.623986430	5771.144	7263.682	-72.90	7031.250	0.1849	No		9.6	
39	Spectrogram 1	2	151.531087495	151.895855981	9303.483	11492.537	-73.12	9726.562	0.3648	No		13.9	
40	Spectrogram 1	2	346.457572923	347.122151124	8507.463	16169.154	-66.53	15468.750	0.6646	No		7.4	
41	Spectrogram 1	2	682.456343888	684.789862837	7079.796	13548.387	-60.35	10195.312	2.3335	Yes - FJ		9.1	
42	Spectrogram 1	2	891.215709606	892.084899285	1069.610	23022.071	-50.93	1171.875	0.8692	Yes - DC		27.1	
43	Spectrogram 1	2	904.881839093	905.991292585	764.007	29592.530	-49.13	820.312	1.1095	Yes - DC		16.0	
44	Spectrogram 1	2	1019.128572453	1019.941229469	18947.368	20373.514	-86.03	19804.688	0.8127	No		9.6	
45	Spectrogram 1	2	1047.317657415	1050.328021667	254.669	29235.993	-52.56	3984.375	3.0104	Yes - DC		15.4	
46	Spectrogram 1	2	1054.664797180	1055.046392649	15789.474	18641.766	-79.68	17695.312	0.3816	No		8.3	
47	Spectrogram 1	2	1066.503367265	1066.913229064	865.874	7589.134	-57.31	3398.438	0.4099	No		6.0	
48	Spectrogram 1	2	1074.334333620	1075.005658982	662.139	20628.183	-46.92	1523.438	0.6713	Yes - DC		10.6	
49	Spectrogram 1	2	1106.779980486	1106.977844803	560.272	3616.299	-61.75	585.938	0.1979	No		7.7	
50	Spectrogram 1	2	1143.756381087	1144.936500406	865.874	21188.455	-51.42	3398.438	1.1801	No		19.9	
51	Spectrogram 1	2	1148.713059685	1150.670503107	662.139	22156.197	-54.14	3515.625	1.9574	No		10.6	
52	Spectrogram 1	2	1275.530795937	1275.968924068	12682.513	14872.666	-77.72	13007.812	0.4381	Yes - FJ		15.3	
53	Spectrogram 1	2	1285.027140709	1286.171927114	14516.129	18896.435	-79.04	14765.625	1.1448	No		15.3	
54	Spectrogram 1	2	1381.710876998	1382.050072970	662.139	2648.557	-57.52	703.125	0.3392	No		10.2	
55	Spectrogram 1	2	2410.278310087	2410.737637966	562.181	16354.344	-59.03	6796.875	0.4593	Yes - DC		15.7	
56	Spectrogram 1	2	2415.364515163	2415.781443545	817.717	17989.779	-62.54	6093.750	0.4169	Yes - DC		9.8	
57	Spectrogram 1	2	2610.120906487	2610.509568538	766.610	22998.296	-56.06	9726.562	0.3887	Yes - BP	Double Check	22.9	
58	Spectrogram 1	2	2687.000169438	2688.554817643	8330.494	20698.467	-75.35	10195.312	1.5546	No		9.9	
59	Spectrogram 1	2	71.758247129	72.333117749	9859.089	84367.941	-37.59	60000.000	0.5749	Yes - DC		1	
60	Spectrogram 1	2	81.956009029	82.414450157	12768.328	84529.565	-35.81	35976.562	0.4584	Yes - DC		1	
61	Spectrogram 1	2	120.302885754	123.380990469	16808.938	84529.565	-47.93	30820.312	3.0781	Yes - DC		1	
