Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Inband Power (dB FS)	Delta Time (s)	Peak Freq (Hz)	NLP	SNR	SQ
1	Spectrogram 1	1	183.061910087	183.872349470	969.700	35880.600	-56.22	0.8104	6914.062	Yes - DC, BP	12.6	
2	Spectrogram 1	1	187.767825637	188.641490787	1373.800	36850.400	-41.04	0.8737	10195.312	Yes - DC, BP	31.4	
3	Spectrogram 1	1	240.310890519	241.908778096	8000.400	27718.600	-66.11	1.5979	12421.875	Yes - FJ	6.6	
4	Spectrogram 1	1	243.531359989	245.209716724	7919.600	26748.800	-64.60	1.6784	14531.250	Yes - FJ	8.4	
5	Spectrogram 1	1	246.664244681	248.244888867	8081.200	26425.600	-66.36	1.5806	25429.688	Yes - FJ	6.3	
6	Spectrogram 1	1	275.776404080	276.207488858	2586.000	12849.100	-55.17	0.4311	3046.875	Yes - DC	17.5	
7	Spectrogram 1	1	278.127745178	278.639299115	2343.600	12849.100	-56.34	0.5116	7500.000	Yes - DC	16.4	
8	Spectrogram 1	1	297.236629294	298.788534495	8162.000	19233.300	-67.24	1.5519	14648.438	No	6.9	
9	Spectrogram 1	1	299.775782163	301.477130087	8485.300	27557.000	-61.60	1.7013	15703.125	Yes - FJ	13.1	
10	Spectrogram 1	1	303.388880560	305.262662395	8162.000	28445.900	-66.11	1.8738	14531.250	Yes - FJ	8.2	
11	Spectrogram 1	1	310.040558061	311.592463262	7353.900	26264.000	-65.79	1.5519	13828.125	Yes - FJ	8.6	
12	Spectrogram 1	1	315.698661185	316.940185346	7919.600	26264.000	-63.86	1.2415	14882.812	Yes - FJ	10.7	
13	Spectrogram 1	1	364.015945701	365.077799515	8081.200	26264.000	-68.80	1.0619	8906.250	Yes - FJ	7.2	
14	Spectrogram 1	1	373.336759451	375.066846360	7838.800	26021.500	-67.79	1.7301	10546.875	Yes - FJ	14.7	
15	Spectrogram 1	1	377.506907654	378.777170800	7919.600	26506.400	-72.02	1.2703	8437.500	Yes - FJ	10.3	
16	Spectrogram 1	1	392.590619511	393.441293473	8323.700	26829.700	-71.29	0.8507	16757.812	Yes - FJ	8.4	
17	Spectrogram 1	1	394.096542336	395.407040061	6707.400	26183.200	-70.87	1.3105	11601.562	Yes - FJ	8.9	
18	Spectrogram 1	1	404.216412289	405.808552069	7596.300	27072.100	-75.12	1.5921	10078.125	Yes - FJ	7	
19	Spectrogram 1	1	413.305642242	414.903529819	8162.000	26668.000	-74.70	1.5979	9023.438	Yes - FJ	7.5	
20	Spectrogram 1	1	425.876658177	427.313607437	6465.000	26587.200	-69.10	1.4369	13593.750	Yes - FJ	11.6	
21	Spectrogram 1	1	430.731367538	432.513184621	5899.300	26264.000	-67.34	1.7818	11835.938	Yes - FJ	13.8	
22	Spectrogram 1	1	433.954443857	435.282184973	8000.400	27314.500	-69.11	1.3277	12070.312	Yes - FJ	11.9	
23	Spectrogram 1	1	454.739002260	455.808092509	6141.700	19152.500	-79.40	1.0691	15937.500	No	8.2	
24	Spectrogram 1	1	458.933369475	459.985216333	6384.200	18748.400	-68.63	1.0518	7500.000	No	13	
25	Spectrogram 1	1	474.727942633	476.343073602	7515.500	26910.500	-69.12	1.6151	24257.812	Yes - FJ	8.9	
26	Spectrogram 1	1	486.113614555	487.435607874	7273.100	26829.700	-74.93	1.3220	11250.000	Yes - FJ	6.1	
27	Spectrogram 1	1	498.880558900	500.455455290	7758.000	26910.500	-70.67	1.5749	11132.812	Yes - FJ	11	
28	Spectrogram 1	1	501.328958035	502.765907295	7758.000	26668.000	-67.85	1.4369	10664.062	Yes - FJ	13.9	
29	Spectrogram 1	1	504.278268991	505.789939613	7434.700	26748.800	-66.27	1.5117	14882.812	Yes - FJ	15.6	
30	Spectrogram 1	1	506.872232785	507.786132514	9293.400	26748.800	-66.88	0.9139	16289.062	Yes - FJ	15	
31	Spectrogram 1	1	509.825148639	511.285089087	7111.500	26668.000	-67.25	1.4599	13828.125	Yes - Fj	14.6	
32	Spectrogram 1	1	514.133817281	515.771939438	8081.200	27314.500	-68.94	1.6381	14531.250	Yes - FJ	12.8	
33	Spectrogram 1	1	518.147488345	519.595933199	7111.500	27961.000	-67.52	1.4484	15703.125	Yes - FJ	14.3	
34	Spectrogram 1	1	532.045288480	534.022530662	6303.400	26264.000	-67.58	1.9772	10312.500	Yes - FJ	14.2	
35	Spectrogram 1	1	535.432525266	536.875222324	6949.800	26183.200	-68.40	1.4427	24023.438	Yes - FJ	13.4	
36	Spectrogram 1	1	545.705076898	547.337451257	8000.400	27152.900	-66.69	1.6324	15820.312	Yes - FJ	15.1	
37	Spectrogram 1	1	548.685436715	550.151124960	8000.400	27152.900	-74.38	1.4657	23671.875	Yes - FJ	6.8	
38	Spectrogram 1	1	557.176403668	558.969716344	7677.200	26910.500	-64.03	1.7933	13828.125	Yes - FJ	17.9	
39	Spectrogram 1	1	560.018173046	562.018406416	5737.700	27072.100	-64.13	2.0002	10781.250	Yes - FJ	17.8	
40	Spectrogram 1	1	563.072524111	564.842845599	6788.200	26748.800	-71.43	1.7703	20976.562	Yes - FJ	10.1	
41	Spectrogram 1	1	582.112661465	583.055300180	7596.300	18586.800	-78.01	0.9426	9726.562	No	8.9	
42	Spectrogram 1	1	586.813315724	588.411203302	8000.400	27072.100	-66.17	1.5979	11132.812	Yes - FJ	20.4	
43	Spectrogram 1	1	587.738635447	589.210071490	6869.000	18506.000	-68.43	1.4714	11132.812	Yes - FJ, DC?	18.1	
44	Spectrogram 1	1	589.399748792	589.853824758	8889.300	13980.500	-77.04	0.4541	11601.562	No	9.1	
45	Spectrogram 1	1	595.020705091	596.526627916	7677.200	26748.800	-71.34	1.5059	12304.688	Yes - FJ	15.2	
46	Spectrogram 1	1	597.406457370	598.728450690	6626.600	28122.600	-78.98	1.3220	14414.062	Yes - FJ	6.8	
47	Spectrogram 1	1	862.720032770	864.375398318	7677.200	11637.000	-67.25	1.6554	10429.688	No	13.5	
48	Spectrogram 1	1	864.956417927	866.272663449	7838.800	11960.200	-71.58	1.3162	9843.750	No	8.8	
49	Spectrogram 1	1	869.405618141	870.457465000	7353.900	15435.100	-70.77	1.0518	14062.500	Yes - FJ	9.7	
50	Spectrogram 1	1	870.095353786	870.992010124	6869.000	17778.700	-70.11	0.8967	14062.500	No	10.4	
51	Spectrogram 1	1	870.940279951	871.808197304	7677.200	15354.300	-72.73	0.8679	12304.688	No	7.5	
52	Spectrogram 1	1	871.509311858	872.285264458	7192.300	18263.600	-72.57	0.7760	12304.688	No	7.7	
53	Spectrogram 1	1	872.590963121	873.303689954	12849.100	15435.100	-77.47	0.7127	14062.500	No	6.4	
54	Spectrogram 1	1	888.596339238	890.217218003	9455.000	15596.800	-76.17	1.6209	13593.750	Yes - FJ	6.4	
