Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Inband Power (dB FS)	Delta Time (s)	Peak Freq (Hz)	NLP	SNR	SQ	Notes
1	Spectrogram 1	2	1565.194622916	1565.944822932	549.500	29120.900	-29.45	0.7502	8437.500	Yes - BP, DC		1	
2	Spectrogram 1	2	1827.737918470	1828.190869423	1153.800	27527.500	-44.94	0.4530	7031.250	Yes - DC		2	
3	Spectrogram 1	2	1828.346571313	1828.856141134	1373.600	27472.500	-35.20	0.5096	6562.500	No		2	
4	Spectrogram 1	2	1831.637076132	1831.948479912	1153.800	25439.600	-43.44	0.3114	6562.500	Yes - DC		3	
5	Spectrogram 1	2	1832.387276147	1835.175755449	494.500	25384.600	-41.07	2.7885	6914.062	Yes - DC		2	
6	Spectrogram 1	2	1835.388076208	1836.138276223	329.700	25274.700	-42.07	0.7502	6914.062	Yes - DC		2	Example
7	Spectrogram 1	2	1912.569964643	1913.518330700	714.300	29505.500	-45.07	0.9484	6914.062	Yes - DC		2	
8	Spectrogram 1	2	1987.538890757	1988.133388882	1153.800	28901.100	-40.18	0.5945	5507.812	Yes - DC		2	
9	Spectrogram 1	2	1994.379907837	1994.847013507	1263.700	28406.600	-38.35	0.4671	6445.312	Yes - DC		2	
10	Spectrogram 1	2	1997.550564505	1998.187526782	1263.700	28956.000	-38.48	0.6370	2343.750	Yes - DC		2	
11	Spectrogram 1	2	2001.911602387	2002.350398622	1208.800	29450.500	-41.16	0.4388	2343.750	Yes - DC		2	
12	Spectrogram 1	2	2019.594014251	2019.905418031	824.200	29120.900	-38.64	0.3114	6328.125	Yes - DC		2	
13	Spectrogram 1	2	2383.707063359	2384.230787898	5879.100	10714.300	-62.70	0.5237	6679.688	No		2	
