Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Inband Power (dB FS)	Peak Freq (Hz)	NLP	SNR	SQ	Notes
1	Spectrogram 1	2	57.745470346	58.360605619	864.400	80679.100	0.6151	-51.84	2812.500	Yes - BP, DC		2	
2	Spectrogram 1	2	67.100573858	67.728392333	576.300	42138.300	0.6278	-38.39	9609.375	Yes - BP, DC		2	
3	Spectrogram 1	2	79.021501469	79.471755122	1008.400	41922.200	0.4503	-47.84	13710.938	Yes - BP, DC		2	
4	Spectrogram 1	2	79.541512731	79.985424784	720.300	42138.300	0.4439	-40.39	12187.500	Yes - DC		1	
5	Spectrogram 1	2	92.979709250	93.645577329	792.300	41490.000	0.6659	-53.18	6562.500	Yes - BP, DC		2	
6	Spectrogram 1	2	95.662658149	96.074862198	1152.500	41418.000	0.4122	-55.01	3281.250	Yes - BP, DC		2	May be conspecific
7	Spectrogram 1	2	96.081203798	96.429991840	792.300	41778.100	0.3488	-47.34	11718.750	Yes - DC		1	
8	Spectrogram 1	2	97.622212782	98.357838470	1080.500	42210.300	0.7356	-57.35	3046.875	Yes - BP, DC		2	
9	Spectrogram 1	2	99.410544195	99.778357039	864.400	41562.000	0.3678	-54.89	1171.875	Yes - DC		2	
10	Spectrogram 1	2	108.350298242	108.965433515	1296.600	39761.300	0.6151	-60.88	13007.812	Yes - BP, DC		2	
11	Spectrogram 1	2	110.506442499	111.127919373	1224.500	40553.600	0.6215	-61.38	7968.750	Yes - BP		2	Ask abt DC
12	Spectrogram 1	2	143.145340366	143.513153210	720.300	39473.100	0.3678	-59.13	8554.688	Yes - BP		1	
13	Spectrogram 1	2	145.846636388	146.290548441	1008.400	41778.100	0.4439	-60.53	3281.250	Yes - BP		2	
14	Spectrogram 1	2	149.651709781	150.070255431	864.400	41562.000	0.4185	-62.05	3281.250	Yes - BP		2	
15	Spectrogram 1	2	152.468397035	152.886942684	792.300	40985.800	0.4185	-62.15	3046.875	Yes - BP		2	
16	Spectrogram 1	2	154.918553233	155.559054909	360.200	41706.100	0.6405	-53.69	30117.188	Yes - BP		3	
17	Spectrogram 1	2	159.036900668	159.671060744	720.300	42138.300	0.6342	-52.06	34804.688	Yes - BP		2	
18	Spectrogram 1	2	167.507206850	168.185758131	864.400	40265.500	0.6786	-46.30	29531.250	Yes - BP		2	
19	Spectrogram 1	2	171.749901465	172.498210354	936.400	40985.800	0.7483	-44.42	28828.125	Yes - BP		2	
20	Spectrogram 1	2	179.691840768	180.421124855	792.300	41418.000	0.7293	-45.71	24375.000	Yes - BP		2	
21	Spectrogram 1	2	182.810451422	183.539735508	792.300	41490.000	0.7293	-53.48	27539.062	Yes - BP		2	
22	Spectrogram 1	2	185.708562967	186.437847054	1152.500	41994.200	0.7293	-50.84	28007.812	Yes - BP		2	
23	Spectrogram 1	2	190.096784109	190.851434599	864.400	41850.200	0.7547	-44.81	27773.438	Yes - BP		2	
24	Spectrogram 1	2	193.133851832	193.844111116	864.400	41850.200	0.7103	-52.05	29414.062	Yes - BP		2	
25	Spectrogram 1	2	196.062835672	196.773094956	792.300	41994.200	0.7103	-45.20	35742.188	Yes - BP		2	
26	Spectrogram 1	2	199.494988488	200.230614176	720.300	41850.200	0.7356	-47.01	35625.000	Yes - BP		2	
27	Spectrogram 1	2	408.724961024	409.251313887	11020.800	19736.600	0.5264	-73.54	13593.750	Yes - FJ		1	
28	Spectrogram 1	2	410.203225979	410.336399595	12821.600	14190.200	0.1332	-82.53	13242.188	No		2	
29	Spectrogram 1	2	410.437865207	410.754945245	9220.000	13758.000	0.3171	-80.67	9726.562	No		2	
30	Spectrogram 1	2	413.701999538	415.927901403	6482.800	16783.300	2.2259	-80.74	9023.438	No		2	
31	Spectrogram 1	2	418.399329940	419.350570054	7995.500	16063.000	0.9512	-78.92	9375.000	No		2	
32	Spectrogram 1	2	422.723460247	423.826898778	4393.900	12389.400	1.1034	-76.98	8671.875	No		1	
33	Spectrogram 1	2	425.023953633	425.861044932	9868.300	15630.800	0.8371	-84.44	12656.250	Yes - FJ		3	
34	Spectrogram 1	2	428.551566450	429.642321780	8499.700	20168.800	1.0908	-82.89	9257.812	No		2	
35	Spectrogram 1	2	430.424298140	431.350171850	10012.300	17503.600	0.9259	-67.33	12187.500	No		1	
36	Spectrogram 1	2	432.402877576	433.449241700	5978.600	12821.600	1.0464	-75.10	9257.812	No		1	
37	Spectrogram 1	2	434.926332107	436.486365893	8427.700	15630.800	1.5600	-70.19	8789.062	No		2	
38	Spectrogram 1	2	438.208480422	438.506535657	9652.200	12461.400	0.2981	-77.21	9960.938	No		1	
39	Spectrogram 1	2	447.766791827	448.223387082	10444.500	15126.600	0.4566	-81.82	13476.562	No		2	
40	Spectrogram 1	2	452.070677712	452.799961799	2377.000	41706.100	0.7293	-67.97	6210.938	Yes - BP		2	
41	Spectrogram 1	2	462.622988409	463.009826055	1728.800	31477.700	0.3868	-65.13	3515.625	Yes - DC		3	
42	Spectrogram 1	2	463.270497966	463.473429190	9940.300	13109.700	0.2029	-82.19	10312.500	No		2	
43	Spectrogram 1	2	468.914985816	469.200357850	11308.900	15414.700	0.2854	-82.32	12304.688	Yes - FJ		3	
44	Spectrogram 1	2	470.899404283	471.095993907	8931.900	12677.500	0.1966	-78.71	9375.000	Yes - FJ		3	
45	Spectrogram 1	2	489.076515834	489.678967906	4754.100	41706.100	0.6025	-69.56	24726.562	Yes - DC		3	
46	Spectrogram 1	2	490.275078377	490.852164045	5906.600	41562.000	0.5771	-67.77	21562.500	Yes - DC		3	
47	Spectrogram 1	2	490.883872049	491.289734497	6770.900	15054.500	0.4059	-78.58	9257.812	Yes - BP		3	
48	Spectrogram 1	2	491.974627379	492.735619470	4105.800	41201.900	0.7610	-68.17	21679.688	Yes - DC		3	
49	Spectrogram 1	2	619.140869371	619.419899804	15408.200	58979.600	0.2790	-68.27	30820.312	No		3	
50	Spectrogram 1	2	652.184048429	653.629933402	1530.600	18775.500	1.4459	-67.10	2578.125	Yes - DC		2	
51	Spectrogram 1	2	703.514457899	703.698364321	18265.300	59183.700	0.1839	-72.13	29765.625	No		3	
52	Spectrogram 1	2	720.602338907	720.817953333	14489.800	59795.900	0.2156	-65.27	30703.125	No		3	
53	Spectrogram 1	2	756.375952714	757.086211999	1632.700	19387.800	0.7103	-61.02	2929.688	No		3	
54	Spectrogram 1	2	772.771627793	773.031633423	16326.500	58775.500	0.2600	-63.65	31523.438	Yes - DC		3	
55	Spectrogram 1	2	809.130972876	810.050504985	4591.800	10102.000	0.9195	-81.70	7968.750	No		2	
56	Spectrogram 1	2	822.723220040	822.850052056	12857.100	58877.600	0.1268	-63.64	28359.375	Yes - DC		3	
57	Spectrogram 1	2	837.902780862	838.346692915	10918.400	19285.700	0.4439	-83.44	19218.750	No		3	
58	Spectrogram 1	2	838.632064949	839.050610599	9693.900	18469.400	0.4185	-80.18	18398.438	No		3	
59	Spectrogram 1	2	839.919409902	840.350638753	11428.600	17857.100	0.4312	-89.76	13593.750	No		3	
60	Spectrogram 1	2	840.686800063	841.143395318	9489.800	16224.500	0.4566	-90.24	10078.125	No		3	
61	Spectrogram 1	2	852.476121067	852.590269880	6326.500	8265.300	0.1141	-77.41	6914.062	No		3	
62	Spectrogram 1	2	914.155185318	914.529339763	5918.400	27653.100	0.3742	-67.29	6445.312	No		1	
63	Spectrogram 1	2	915.998806780	916.449060433	3163.300	28265.300	0.4503	-62.42	10781.250	No		1	
64	Spectrogram 1	2	918.262758249	918.776427910	5816.300	25204.100	0.5137	-65.81	8203.125	No		1	
65	Spectrogram 1	2	921.030609995	921.442814044	5816.300	16224.500	0.4122	-63.06	7148.438	No		3	
66	Spectrogram 1	2	937.065779578	937.065779578	24795.900	24795.900	0.0000	-88.51	24843.750				Come to this
67	Spectrogram 1	2	942.758464629	943.075544666	2040.800	11428.600	0.3171	-59.13	6093.750	No		1	
68	Spectrogram 1	2	947.887978231	948.027493447	3163.300	12346.900	0.1395	-72.09	6679.688	No		2	
69	Spectrogram 1	2	948.141642261	948.262132675	3469.400	10306.100	0.1205	-62.73	5625.000	No		1	
70	Spectrogram 1	2	948.382623090	948.509455105	6734.700	10816.300	0.1268	-66.75	7031.250	No		1	
71	Spectrogram 1	2	934.386083334	934.474865745	3061.200	7857.100	0.0888	-79.78	6562.500	No		3	
72	Spectrogram 1	2	936.022216329	936.136365143	3673.500	9795.900	0.1141	-76.69	6796.875	No		2	
73	Spectrogram 1	2	936.282221960	936.383687572	6836.700	8877.600	0.1015	-80.77	7265.625	No		2	
74	Spectrogram 1	2	942.090964522	942.192430134	3775.500	9285.700	0.1015	-78.45	5859.375	No		2	
75	Spectrogram 1	2	942.401702959	942.503168571	7244.900	9285.700	0.1015	-74.93	8320.312	No		2	
76	Spectrogram 1	2	963.980561060	964.101051474	3673.500	11224.500	0.1205	-68.86	8203.125	No		2	
77	Spectrogram 1	2	964.215200288	964.348373904	6836.700	11632.700	0.1332	-59.13	7617.188	No		2	
78	Spectrogram 1	2	1014.431393872	1014.545542685	4693.900	9591.800	0.1141	-74.56	6679.688	No		2	
79	Spectrogram 1	2	1020.499187716	1020.632361332	3163.300	9693.900	0.1332	-81.35	7382.812	No		2	
80	Spectrogram 1	2	1020.803584552	1020.898708563	7040.800	9081.600	0.0951	-79.54	7851.562	No		2	
81	Spectrogram 1	2	1027.091823884	1027.725983960	1632.700	59898.000	0.6342	-62.66	25429.688	No		2	
82	Spectrogram 1	2	1030.304547731	1030.425038145	3163.300	9898.000	0.1205	-72.46	4687.500	No		2	
83	Spectrogram 1	2	1030.545528560	1030.678702175	7142.900	10204.100	0.1332	-72.73	7734.375	No		2	
84	Spectrogram 1	2	1032.526067463	1032.614849873	3061.200	10510.200	0.0888	-65.89	5976.562	No		2	
85	Spectrogram 1	2	1032.741681888	1032.830464299	5918.400	10918.400	0.0888	-75.33	6562.500	No		2	
86	Spectrogram 1	2	1033.008029120	1033.153885937	2959.200	9285.700	0.1459	-79.33	3867.188	No		2	
87	Spectrogram 1	2	1033.274376352	1033.369500363	6428.600	9795.900	0.0951	-75.01	7265.625	No		3	
88	Spectrogram 1	2	1035.123317196	1035.218441208	2755.100	20102.000	0.0951	-58.48	3398.438	No		2	
89	Spectrogram 1	2	1036.465274520	1036.750646554	3265.300	8673.500	0.2854	-75.74	6914.062	No		3	
90	Spectrogram 1	2	1043.058184508	1043.425997352	510.200	59285.700	0.3678	-51.02	34804.688	No		2	
91	Spectrogram 1	2	1061.795661204	1062.131766044	4898.000	10408.200	0.3361	-78.09	8906.250	No		1	
92	Spectrogram 1	2	1107.396113316	1107.522945331	2142.900	13877.600	0.1268	-77.39	2929.688	No		2	
93	Spectrogram 1	2	1110.965593132	1111.155841155	3775.500	15816.300	0.1902	-75.65	11484.375	No		2	
94	Spectrogram 1	2	1122.414379242	1122.877316097	2959.200	35306.100	0.4629	-79.10	3281.250	No		3	
95	Spectrogram 1	2	1127.944543149	1128.046008762	3979.600	9183.700	0.1015	-82.85	5859.375	No		2	
96	Spectrogram 1	2	1128.172840777	1128.293331191	6326.500	8979.600	0.1205	-73.57	6796.875	No		2	
97	Spectrogram 1	2	1129.612384148	1129.739216163	2755.100	9795.900	0.1268	-76.38	3984.375	No		2	
98	Spectrogram 1	2	1129.847023376	1129.980196992	6734.700	11632.700	0.1332	-80.62	7148.438	No		2	
99	Spectrogram 1	2	1131.933410024	1132.047558838	3367.300	9183.700	0.1141	-77.22	7617.188	No		2	
100	Spectrogram 1	2	1132.161707652	1132.301222868	6632.700	10816.300	0.1395	-77.63	7382.812	No		2	
101	Spectrogram 1	2	1134.143438698	1134.276612314	4081.600	9898.000	0.1332	-78.40	7265.625	No		2	
102	Spectrogram 1	2	1134.409785930	1134.523934744	6122.400	10204.100	0.1141	-70.27	6562.500	No		2	
103	Spectrogram 1	2	1136.959109434	1137.092283050	4081.600	9387.800	0.1332	-77.87	5976.562	No		2	
104	Spectrogram 1	2	1137.244481468	1137.352288681	6632.700	8979.600	0.1078	-75.28	7382.812	No		2	
105	Spectrogram 1	2	1138.938082754	1139.071256370	3673.500	9693.900	0.1332	-78.15	4453.125	No		2	
106	Spectrogram 1	2	1139.223454788	1139.331262000	6734.700	9387.800	0.1078	-76.92	8320.312	NO		2	
107	Spectrogram 1	2	1145.320768419	1146.500306159	2346.900	26428.600	1.1795	-67.08	3046.875	No		2	
108	Spectrogram 1	2	1151.009972065	1151.092412875	4795.900	9387.800	0.0824	-76.57	8437.500	No		2	
109	Spectrogram 1	2	1151.250952893	1151.327052103	6530.600	9285.700	0.0761	-70.39	7851.562	No		2	
110	Spectrogram 1	2	1207.454519227	1207.790624067	2653.100	30612.200	0.3361	-59.59	4921.875	No		1	
111	Spectrogram 1	2	1208.088679303	1208.532591356	1632.700	57244.900	0.4439	-43.13	9726.562	No		1	Maybe DC
112	Spectrogram 1	2	1213.498849666	1213.670072886	714.300	59693.900	0.1712	-52.42	21328.125	No		2	
113	Spectrogram 1	2	1223.880688390	1224.185085226	1428.600	53163.300	0.3044	-56.60	5273.438	Yes - BP, DC		2	
114	Spectrogram 1	2	1236.699926542	1236.820416956	3163.300	8163.300	0.1205	-71.46	5273.438	No		2	
115	Spectrogram 1	2	1236.852124960	1236.978956975	14591.800	58877.600	0.1268	-58.45	30234.375	No		2	
116	Spectrogram 1	2	1240.195831356	1240.443153785	1836.700	59285.700	0.2473	-63.38	2109.375	No		2	
117	Spectrogram 1	2	1243.662213532	1244.042709578	5714.300	12346.900	0.3805	-76.57	11835.938	No		2	
118	Spectrogram 1	2	1246.278555938	1246.671735184	4795.900	16836.700	0.3932	-66.01	6914.062	Yes - SB		2	
119	Spectrogram 1	2	1257.238361110	1257.644223558	4285.700	36326.500	0.4059	-62.86	5273.438	No		1	
120	Spectrogram 1	2	1261.977558511	1262.446836967	1326.500	50816.300	0.4693	-62.97	7265.625	Yes - BP, DC		2	
121	Spectrogram 1	2	1275.452229077	1275.648818701	1020.400	59387.800	0.1966	-65.30	2695.312	No		2	
122	Spectrogram 1	2	1299.861733451	1300.024482091	547.438	42289.547	0.1627	-49.93	585.938	No		2	Probably not vocalization
123	Spectrogram 1	2	1302.500043495	1302.642448555	1779.172	41605.251	0.1424	-59.83	24843.750	Yes		3	Probably not vocal
124	Spectrogram 1	2	1311.379981723	1311.595757973	1085.271	7674.419	0.2158	-75.43	1289.062	No		3	
125	Spectrogram 1	2	1311.682068473	1312.077658266	620.155	29069.767	0.3956	-68.89	7265.625	Yes - BP		3	
126	Spectrogram 1	2	1313.876663584	1314.272253377	1162.791	29224.806	0.3956	-66.83	24960.938	Yes - BP		3	
127	Spectrogram 1	2	1314.775731295	1314.948352295	2093.023	4961.240	0.1726	-79.61	3046.875	No		2	
128	Spectrogram 1	2	1315.085010587	1315.379904796	1395.349	29922.481	0.2949	-56.46	29648.438	Yes - BP, DC		3	
129	Spectrogram 1	2	1317.446633674	1317.806260759	1317.829	29457.364	0.3596	-67.98	1992.188	Yes - BP, DC		3	
130	Spectrogram 1	2	1317.993266842	1318.266583427	1007.752	29534.884	0.2733	-56.93	8437.500	Yes - DC		3	
131	Spectrogram 1	2	1318.359917003	1318.560809855	670.391	28324.022	0.2009	-53.49	3164.062	Yes - BP, DC		2	
132	Spectrogram 1	2	1319.388896539	1319.462642017	754.190	29581.006	0.0737	-53.07	25898.438	No		2	
133	Spectrogram 1	2	1321.671565704	1321.841943187	2094.972	22541.899	0.1704	-69.63	8203.125	No?		3	
134	Spectrogram 1	2	1322.073351409	1322.297130789	2346.369	29497.207	0.2238	-61.57	6796.875	No		3	
135	Spectrogram 1	2	1324.301687965	1324.456807762	2430.168	13324.022	0.1551	-81.75	5742.188	Yes - FJ		3	
136	Spectrogram 1	2	1325.223165672	1325.396086102	3519.553	28156.425	0.1729	-75.36	8320.312	No		3	
137	Spectrogram 1	2	1326.438013054	1326.595675799	2011.173	27821.229	0.1577	-68.42	6210.938	Yes - DC		3	
138	Spectrogram 1	2	1338.479666567	1338.698360052	17430.168	57988.827	0.2187	-70.84	18984.375	Yes - DC		3	
139	Spectrogram 1	2	1355.098907793	1355.729558773	6033.520	13491.620	0.6307	-74.26	7617.188	No		1	
140	Spectrogram 1	2	1356.733341512	1357.417394390	5363.128	13994.413	0.6841	-76.90	10195.312	No		1	
141	Spectrogram 1	2	1371.371445803	1371.615568763	1005.587	57653.631	0.2441	-47.80	37031.250	No		1	
