Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Inband Power (dB FS)	Delta Time (s)	Peak Freq (Hz)	SNR	SQ	NLP	BP	DC	FJ	SH	SB	E-Clicks in frame	Notes
1	Spectrogram 1	2	36.657978795	37.002846618	1131.400	11232.900	-67.63	0.3449	5039.062	10.3	2	1	1	0	0	0	0		Not sure
2	Spectrogram 1	2	38.281858511	38.712943289	964.200	12615.400	-67.87	0.4311	4921.875	10	2	0	0	0	0	0	0		
3	Spectrogram 1	2	43.187576334	43.342766854	4017.700	13097.500	-65.64	0.1552	6445.312	19.1	2	0	0	0	0	0	0		
4	Spectrogram 1	2	63.665152256	63.952542108	1044.600	10044.100	-61.09	0.2874	1406.250	16.6	2	0	0	0	0	0	0		
5	Spectrogram 1	2	66.708007727	66.926424014	2892.700	15668.800	-66.58	0.2184	4218.750	17.5	1	0	0	0	0	0	0		
6	Spectrogram 1	2	90.365670139	90.676051179	2089.200	10445.900	-72.59	0.3104	4335.938	11.1	3	0	0	0	0	0	0		
7	Spectrogram 1	2	117.564543237	118.484190763	9240.600	10687.000	-74.61	0.9196	10078.125	9.6		0	0	0	0	0	0		
8	Spectrogram 1	2	120.156637297	121.396139865	5785.400	8308.458	-69.75	1.2395	7968.750	8.8		0	0	0	0	0	0		
9	Spectrogram 1	2	127.667169798	128.454617993	5062.200	20490.000	-74.91	0.7874	11015.625	6.5		0	0	0	0	0	0		
10	Spectrogram 1	2	128.696025469	128.879954974	14785.000	19606.100	-76.48	0.1839	15234.375	15.4		0	0	0	0	0	0		
11	Spectrogram 1	2	128.856963786	129.144353638	12213.700	13660.000	-78.56	0.2874	13125.000	13.8		0	0	0	0	0	0		
12	Spectrogram 1	2	129.448986881	129.742124530	11169.100	13660.000	-76.86	0.2931	11484.375	15.6		0	0	0	0	0	0		
13	Spectrogram 1	2	146.404539441	147.565594443	15909.900	17999.100	-82.29	1.1611	17109.375	14.0		0	0	0	0	0	0		
14	Spectrogram 1	2	147.218849886	148.104010630	9883.400	16151.000	-75.96	0.8852	12539.062	20.4		0	0	0	0	0	0		
