Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Inband Power (dB FS)	Delta Time (s)	Peak Freq (Hz)	SNR	NLP	BP	DC	FJ	SH	SB	E-Clicks in frame	Notes
1	Spectrogram 1	1	129.757570025	131.171672514	1196.100	37993.800	-53.12	1.4141	3632.812	9.9	0	0	0	0	0	0		
2	Spectrogram 1	1	188.644734134	188.906988737	12667.600	19700.500	-76.62	0.2623	14296.875	8	0	0	0	0	0	0		
3	Spectrogram 1	1	515.290423028	515.578035899	12807.972	15895.608	-74.93	0.2876	13476.562	9.1	0	0	0	0	0	0		
4	Spectrogram 1	1	794.164226805	794.846412044	10455.797	18498.718	-75.81	0.6822	12539.062	9	0	0	0	0	0	0		
5	Spectrogram 1	1	1821.561614576	1823.750278372	6081.118	41153.615	-70.40	2.1887	13593.750	14.7	1	0	0	0	0	1		
6	Spectrogram 1	1	590.474360036	590.474360036	8646.906	8646.906	-98.74	0.0000	8671.875		0	0	0	0	0	0		Start of whistles
7	Spectrogram 1	1	895.555807735	895.555807735	6545.788	6545.788	-101.11	0.0000	6562.500		0	0	0	0	0	0		End of whistles
8	Spectrogram 1	1	1002.848564615	1002.848564615	12445.079	12445.079	-87.91	0.0000	12421.875		0	0	0	0	0	0		Start of whistles
9	Spectrogram 1	1	1774.149017291	1774.149017291	7596.347	7596.347	-102.03	0.0000	7617.188		0	0	0	0	0	0		End of whistles
10	Spectrogram 1	1	1790.321571630	1790.643448265	8485.281	11636.957	-81.64	0.3219	10312.500	10.9	0	0	0	0	0	0		
11	Spectrogram 1	1	1794.304556974	1794.988544822	6949.850	14222.948	-79.25	0.6840	9023.438	7.3	1	0	0	1	0	0		
12	Spectrogram 1	1	1817.593341321	1817.794514217	10020.713	13818.887	-79.64	0.2012	10898.438	7.3	0	0	0	0	0	0		
13	Spectrogram 1	1	1832.975449317	1833.923835828	5010.357	36688.740	-64.95	0.9484	9023.438	17.3	0	0	0	0	0	0		
14	Spectrogram 1	1	1858.119119916	1858.486978926	5495.230	9697.464	-79.85	0.3679	8906.250	7.2	0	0	0	0	0	0		
15	Spectrogram 1	1	1882.954501809	1883.684472033	9455.028	18263.558	-77.27	0.7300	10898.438	12.5	0	0	0	0	0	0		
16	Spectrogram 1	1	1905.098703668	1906.075829165	7677.159	26748.839	-79.30	0.9771	12070.312	6.2	0	0	0	0	0	0		
17	Spectrogram 1	1	1918.054670803	1919.462881078	7838.784	17778.685	-78.02	1.4082	10664.062	7.3	0	0	0	0	0	0		
18	Spectrogram 1	1	1926.657209141	1926.657209141	4202.235	4202.235	-107.10	0.0000	4218.750		0	0	0	0	0	0		Start of whistles
19	Spectrogram 1	1	1940.348326588	1940.348326588	12202.643	12202.643	-101.16	0.0000	12187.500		0	0	0	0	0	0		End of whistles
20	Spectrogram 1	1	2070.856957218	2071.730622368	12929.953	15596.755	-82.94	0.8737	13125.000	18.4	0	0	0	0	0	0		
21	Spectrogram 1	1	2247.547385636	2248.490024350	11059.016	16162.441	-87.13	0.9426	13710.938	6.6	0	0	0	0	0	0		
