Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Inband Power (dB FS)	Delta Time (s)	Peak Freq (Hz)	SNR	NLP	BP	DC	FJ	SH	SB	E-Clicks in frame
1	Spectrogram 1	1	121.198943862	121.831201536	1697.100	26587.200	-42.25	0.6323	9140.625	7	0	0	0	0	0	0	
2	Spectrogram 1	1	562.998284146	565.469836874	1373.800	31031.900	-44.27	2.4716	5742.188	18.2	1	0	1	0	0	0	
3	Spectrogram 1	1	583.059215117	587.301089333	565.700	32728.900	-41.68	4.2419	1171.875	15.3	0	0	0	0	0	0	
4	Spectrogram 1	1	630.287044189	630.735372358	2505.200	21334.400	-67.05	0.4483	2695.312	8	0	0	0	0	0	0	
5	Spectrogram 1	1	681.711442448	683.113904926	646.500	26102.300	-41.23	1.4025	8437.500	35.5	0	0	0	0	0	0	
6	Spectrogram 1	1	776.505742893	777.138000567	1616.200	25779.100	-45.82	0.6323	11601.562	6.6	1	0	1	0	0	0	
7	Spectrogram 1	1	777.402399231	777.781753836	1131.400	25859.900	-39.22	0.3794	9023.438	13.9	0	0	0	0	0	0	
8	Spectrogram 1	1	1468.652505983	1468.985878211	1697.100	23193.100	-47.14	0.3334	3046.875	8.6	1	0	1	0	0	0	
9	Spectrogram 1	1	1469.037608384	1469.302007048	1616.200	18344.400	-48.06	0.2644	1992.188	7.5	0	0	0	0	0	0	
10	Spectrogram 1	1	1542.076033852	1546.530576558	727.300	18425.200	-47.66	4.4545	6210.938	9.3	1	0	1	0	0	0	
11	Spectrogram 1	1	1546.663262397	1547.686370270	646.500	19556.600	-47.95	1.0231	5976.562	9	0	0	0	0	0	0	
12	Spectrogram 1	1	1548.104586031	1550.064584822	727.300	18829.200	-51.78	1.9600	7148.438	27.2	0	0	0	0	0	0	
13	Spectrogram 1	1	1575.464310642	1576.723078194	888.900	20445.500	-48.21	1.2588	10312.500	25.9	1	0	1	0	0	0	
14	Spectrogram 1	1	1613.816927047	1614.483671504	1697.100	27961.000	-55.59	0.6667	3046.875	21.9	0	0	0	0	0	0	
15	Spectrogram 1	1	1940.090156626	1941.981181853	969.700	18182.700	-51.62	1.8910	4570.312	8.0	0	0	0	0	0	0	
16	Spectrogram 1	1	1990.239496959	1990.728059707	1535.400	24405.300	-54.71	0.4886	6914.062	7.3	0	0	0	0	0	0	
17	Spectrogram 1	1	2189.894121080	2190.572361131	404.100	26425.600	-47.69	0.6782	2343.750	29.5	0	0	0	0	0	0	
18	Spectrogram 1	1	2204.014944280	2204.474768043	1050.600	33133.000	-40.40	0.4598	2226.562	17.7	0	0	0	0	0	0	
19	Spectrogram 1	1	2207.098196735	2207.851158147	808.100	27880.200	-40.83	0.7530	2109.375	29.3	0	0	0	0	0	0	
20	Spectrogram 1	1	2367.727712197	2368.176040367	1293.000	34506.800	-58.09	0.4483	1523.438	16.5	1	0	1	0	0	0	
21	Spectrogram 1	1	2369.874717044	2370.386270981	4929.500	7515.500	-81.89	0.5116	6679.688	6.6	0	0	0	0	0	0	
22	Spectrogram 1	1	2371.332640759	2371.746482146	1050.600	36284.700	-52.50	0.4138	20039.062	23.3	1	0	1	0	0	0	
23	Spectrogram 1	1	2383.991095872	2384.399189462	1212.200	21576.900	-51.34	0.4081	20156.250	32.8	1	0	1	0	0	0	
24	Spectrogram 1	1	2387.428040497	2387.853377478	646.500	27072.100	-45.14	0.4253	23320.312	39	1	0	1	0	0	0	
25	Spectrogram 1	1	2395.819927078	2396.365967796	4444.700	6707.400	-79.90	0.5460	6445.312	6.4	0	0	0	0	0	0	
26	Spectrogram 1	1	2400.343859856	2400.826674808	4040.600	6465.000	-81.33	0.4828	6328.125		0	0	0	0	0	0	
27	Spectrogram 1	1	2417.391933675	2417.926478800	3636.500	7515.500	-79.83	0.5345	6210.938	7.9	0	0	0	0	0	0	
28	Spectrogram 1	1	2421.770873705	2422.293923236	3151.700	6788.200	-80.77	0.5230	6328.125	6.7	0	0	0	0	0	0	
29	Spectrogram 1	1	2428.646071981	2429.140382526	5252.800	14303.800	-79.78	0.4943	12656.250	6.6	0	0	0	0	0	0	
30	Spectrogram 1	1	2488.358875770	2488.950898865	3636.500	13253.200	-79.95	0.5920	5742.188	7	0	0	0	0	0	0	
31	Spectrogram 1	1	2493.475474954	2493.992776687	3959.800	12768.300	-82.31	0.5173	6328.125	8.2	0	0	0	0	0	0	
32	Spectrogram 1	1	2503.248119444	2503.753925583	3636.500	6949.800	-80.44	0.5058	6562.500		0	0	0	0	0	0	
33	Spectrogram 1	1	2505.640187229	2506.174732354	3879.000	6869.000	-77.11	0.5345	4218.750	15.2	0	0	0	0	0	0	
34	Spectrogram 1	1	2546.229907702	2546.798939609	3879.000	6707.400	-70.87	0.5690	6445.312	18.2	0	0	0	0	0	0	
35	Spectrogram 1	1	2560.564627216	2561.104920138	3232.500	6707.400	-78.49	0.5403	6445.312		0	0	0	0	0	0	
