Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Inband Power (dB FS)	Delta Time (s)	Peak Freq (Hz)	SNR	SQ	NLP	BP	DC	FJ	SH	SB	E-Clicks in frame	Notes
1	Spectrogram 1	2	52.862943184	52.996116800	5195.200	12631.600	-61.66	0.1332	5742.188		2	0	0	0	0	0	0		
2	Spectrogram 1	2	53.078557610	53.167340020	7283.500	10492.400	-73.97	0.0888	7500.000		2	0	0	0	0	0	0		Odd
3	Spectrogram 1	2	95.401365029	95.838935481	1884.600	26434.600	-49.19	0.4376	24140.625		3	1	0	1	0	0	0		
4	Spectrogram 1	2	161.127833160	161.666869224	814.900	27045.800	-51.92	0.5390	14179.688		3	2	1	1	0	0	0		
5	Spectrogram 1	2	163.095914761	163.704708434	1120.500	28268.300	-51.86	0.6088	14531.250		3	0	0	0	0	0	0		
6	Spectrogram 1	2	165.516887162	166.093972831	1171.500	29134.100	-54.03	0.5771	6210.938		3	0	0	0	0	0	0		
7	Spectrogram 1	2	167.514491400	168.047185863	1324.300	28624.800	-48.95	0.5327	2460.938		2	0	0	0	0	0	0		
8	Spectrogram 1	2	170.819544081	171.491753761	1528.000	28573.900	-46.84	0.6722	2460.938		2	0	0	0	0	0	0		
9	Spectrogram 1	2	173.298206398	173.926024873	2088.300	29388.800	-45.08	0.6278	20859.375		2	0	0	0	0	0	0		
10	Spectrogram 1	2	195.795534091	196.118955730	3718.200	11103.600	-64.35	0.3234	9023.438		2	0	0	0	0	0	0		
